Date,Price (USD),Market Cap (USD),Total Volume (USD),Circulating Supply
2023-12-04,0.6169485620195517,636509790.8519579,66425090.489932805,1031706417.7414944
2023-12-05,0.6303448790485854,651749469.6822926,235783171.31864783,1033956951.7341274
2023-12-06,0.6434557971690754,665301495.6052632,173834795.49607798,1033950581.4265708
2023-12-07,0.6213230218376625,642625748.6842821,116058785.24443528,1034286073.5847406
2023-12-08,0.67041743861267,692956412.6074886,143926547.8148118,1033619313.425766
2023-12-09,0.7070589952250728,730684103.0822824,134104937.00984588,1033413205.9937788
2023-12-10,0.6776664081333098,699681760.7522075,116279661.0060552,1032487005.9289804
2023-12-11,0.691719456390338,714682377.678545,58663767.31264261,1033196870.6042136
2023-12-12,0.627954197612352,648527536.85013,153977147.23077962,1032762483.8180923
2023-12-13,0.6573796793988972,678864064.6097505,128487752.01303431,1032681851.727602
2023-12-14,0.6538465420780918,675840529.6513036,102413422.12750596,1033637843.3742408
2023-12-15,0.6549798068014051,676400857.6660798,91096355.341602,1032704902.7194966
2023-12-16,0.6177220616498346,638594638.4533852,83006838.12730904,1033789592.6006
2023-12-17,0.6298836486887601,651284448.6499735,89839250.12070325,1033975798.5554376
2023-12-18,0.611378664930761,631412967.7648544,59044322.78755692,1032769057.8413664
2023-12-19,0.6089535532826952,629050502.570961,80191779.72880389,1033002433.7323084
2023-12-20,0.6786394488439558,702257479.7926576,299948964.08513546,1034802030.7232867
2023-12-21,0.6856735214541039,708280701.5013413,330944711.79414725,1032970764.2775742
2023-12-22,0.6873805019140647,710438851.9217864,163579431.5794902,1033545248.8738244
2023-12-23,0.6967250984713491,720389653.1422144,154588162.09233007,1033965411.4984324
2023-12-24,0.7497066649002415,774852781.0069133,263899392.76930928,1033541273.2525432
2023-12-25,0.716563812683772,740939977.8475971,165064427.99903947,1034018135.904084
2023-12-26,0.8149005524592406,842083371.1638846,126677682.55739067,1033357222.0838612
2023-12-27,0.8873017630543008,916678174.0824728,417498232.7855869,1033107576.532984
2023-12-28,0.8311030569975502,857816244.2045486,242307187.48133588,1032141846.889004
2023-12-29,0.7982179171122273,827299861.0596066,202185128.51662177,1036433589.5297756
2023-12-30,0.8043423115016276,829378971.636483,185055334.49020123,1031126871.9509662
2023-12-31,0.8106643384642863,838907178.7176799,117008748.52843916,1034839129.9744312
2024-01-01,0.7770881976570376,803684630.8951927,119086128.96558158,1034225758.8242168
2024-01-02,0.8431751914565428,925877990.9375386,129127961.41883372,1098084953.5410676
2024-01-03,0.9048458086378502,997263700.8172288,249345707.47492737,1102136619.6286016
2024-01-04,0.8424850528974303,927695386.8396198,281415318.9806348,1101141656.6372764
2024-01-05,0.8549785445067141,940805926.0600848,208668255.3384649,1100385421.487845
2024-01-06,0.8937038438485799,982800082.182922,246977905.589312,1099693247.3185575
2024-01-07,0.8322231658182947,915555648.3509448,264618583.18911663,1100132375.4917498
2024-01-08,0.7989934039206413,878477114.3596135,142027162.67650092,1099479808.0296378
2024-01-09,0.8622677335927226,951180509.7934964,231074645.697598,1103115045.0571887
2024-01-10,0.79796432269631,878037753.904705,171981283.6907207,1100347131.9843323
2024-01-11,0.8410402110018814,927760262.552719,205915476.21602792,1103110470.125481
2024-01-12,1.0874802387441889,1198910488.2582693,661773018.4993193,1102466459.1999934
2024-01-13,1.172495265999783,1289352080.3352551,737848166.2748682,1099665062.8144147
2024-01-14,1.2930700485155642,1422645884.757689,636748280.5733294,1100207901.6452951
2024-01-15,1.2610946008095458,1391387456.8656003,378691980.4000753,1103317273.717939
2024-01-16,1.3762227058000902,1516495539.908069,544909622.8543391,1101925969.915188
2024-01-17,1.2769436905507656,1406598534.293145,312141579.2636199,1101535286.7176604
2024-01-18,1.2879206293952294,1418351959.846527,325897056.6844926,1101272801.6574628
2024-01-19,1.1560251455839792,1273971442.6316593,359069103.6213431,1102027449.4012828
2024-01-20,1.1635770142006945,1280453754.1756094,321916223.4562186,1100446071.5092435
2024-01-21,1.098169613799573,1211377405.4989798,215022638.1432667,1103087710.9299335
2024-01-22,1.0673267413929597,1175343410.3432884,153595751.07535905,1101203000.6943865
2024-01-23,1.0683683771169274,1172839341.372186,316965065.23701125,1097785526.5027418
2024-01-24,1.1861401407065568,1304107977.9253182,619944192.9021227,1099455227.2284544
2024-01-25,1.2938576703703328,1424551365.9981558,477949215.65924406,1101010875.1686847
2024-01-26,1.1758141610729804,1296695034.65796,318770823.70497525,1102806104.558794
2024-01-27,1.4458077112345908,1591101166.904033,485789625.3024117,1100492931.7643316
2024-01-28,1.3913256066885886,1528055953.826477,321945478.2405426,1098273435.4061894
2024-01-29,1.3334420880344602,1470095672.274434,204560937.45784947,1102481829.1444557
2024-01-30,1.5668514193740768,1726864688.0787394,519737474.5220292,1102124085.746806
2024-01-31,1.5471565275307306,1700326345.5438428,446594551.9362584,1099000854.3334477
2024-02-01,1.5206393758033865,1677759331.694945,505400747.49881935,1103324929.231527
2024-02-02,1.5286942082354626,1782801659.3016305,420164847.7277981,1166225167.6608877
2024-02-03,1.463400376074718,1707646463.8794975,280694539.84411794,1166903119.4729643
2024-02-04,1.4331934716411878,1671043559.3901193,246336866.9469936,1165958115.5338106
2024-02-05,1.4677696111191307,1711427807.782055,278024003.4476677,1166005751.050495
2024-02-06,1.571918226221597,1832285457.060572,387575486.8566836,1165636625.6817422
2024-02-07,1.5195159920428227,1771169693.534981,298052024.75157666,1165614381.691263
2024-02-08,1.548178003296368,1803443916.2502692,375883215.803247,1164881500.9710712
2024-02-09,1.530725021188168,1786065119.9911914,239708146.3285961,1166809907.2456691
2024-02-10,1.7647411510488478,2074610085.1435435,327772531.0548216,1175588886.738732
2024-02-11,1.732739066306808,2019902546.8692944,281110788.9869128,1165728058.0477428
2024-02-12,1.6955692318507265,1974568215.131106,221812373.81639063,1164545910.623685
2024-02-13,1.7664444577295513,2057270945.899579,385491720.34412014,1164639475.018554
2024-02-14,1.8640609676923576,2178010411.1436024,398364128.0318611,1168422304.2553716
2024-02-15,1.9085489540232732,2224979440.047605,333571760.05186105,1165796368.6796124
2024-02-16,1.869951982389308,2181058016.3854194,306921492.0135059,1166371135.155353
2024-02-17,1.8119350984853235,2114063007.168551,243646910.4261153,1166743228.7921293
2024-02-18,1.7660638879747528,2061659298.3880863,182491866.25096488,1167375264.5224574
2024-02-19,1.798230879813974,2096521398.7357929,215194186.2094941,1165879989.1995385
2024-02-20,1.773659559332783,2065537608.7455945,228690036.72135505,1164562611.735146
2024-02-21,1.720898463225897,2007837164.4470189,344840931.8578116,1166737728.7810712
2024-02-22,1.69184646000208,1971954321.0969007,198297394.12021425,1165563405.2598815
2024-02-23,1.725574390722453,2011224666.566148,483343879.2150197,1165539241.5299466
2024-02-24,1.606930369397627,1874089272.377602,413928931.8261656,1166254187.5290604
2024-02-25,1.6351086232780443,1906418718.8322363,251999390.4673999,1165927872.7368417
2024-02-26,1.6476601079614743,1922033060.8472612,165298588.29578567,1166522786.8053734
2024-02-27,1.6700151124635565,1947753361.8278797,294581957.6683126,1166308823.9690309
2024-02-28,1.6109058730438424,1877364965.285184,348310319.6551076,1165409473.4522638
2024-02-29,1.594805652854671,1860857787.5800288,504500488.17187816,1166824173.3713005
2024-03-01,1.6817958762135767,1966786243.663391,287588178.0829778,1169455979.4565833
2024-03-02,1.6913887236347058,2081341570.264877,295838316.68726444,1230551877.9811797
2024-03-03,1.6225576572517066,1997340525.8766649,320809797.1906505,1230982773.986452
2024-03-04,1.559801723595452,1917973813.6736925,276333954.0893528,1229626679.2503786
2024-03-05,1.4897437173392143,1834320010.9981644,353565437.4312057,1231299041.3373833
2024-03-06,1.404927121858575,1729399138.7314796,673095014.64588,1230952916.933984
2024-03-07,1.476804035619102,1817207829.744476,426171237.5973964,1230500314.13455
2024-03-08,1.584017908540957,1960048259.800579,391538757.8550761,1237390214.6131573
2024-03-09,1.55051639157794,1908124535.0254595,321442710.2110264,1230638092.8250532
2024-03-10,1.5875371581563869,1953222231.2567887,301639056.4146762,1230347410.277359
2024-03-11,1.554556319884634,1912652433.562765,271203939.925266,1230352615.14662
2024-03-12,1.5746993995387433,1940078653.3650184,316963527.2583279,1232031112.6893814
2024-03-13,1.596218261448658,1962073959.570465,428249986.6700434,1229201549.0348876
2024-03-14,1.6186720284145262,1991909495.459008,333360973.2655454,1230582514.8594584
2024-03-15,1.5708364199865803,1932604266.92856,396495987.6703767,1230302686.0970476
2024-03-16,1.488027904909391,1835682793.4383075,493282108.5895085,1233634656.5692165
2024-03-17,1.6168069632931732,1989387679.628871,876048637.6304234,1230442300.6546257
2024-03-18,1.600161993365688,1958627083.8624933,469990440.04353887,1224018000.6668143
2024-03-19,1.5265868515671095,1879674741.489927,651273929.197668,1231292369.3534744
2024-03-20,1.6511216455467663,2034270655.3067527,838131352.2034755,1232053774.349925
2024-03-21,1.7477108426914612,2150443654.9900866,689105420.7427458,1230434464.5927927
2024-03-22,1.824509514397757,2246016736.01448,717426247.7061692,1231024951.2488053
2024-03-23,1.714994452174179,2107388396.0161836,455573431.8715484,1228801873.5830595
2024-03-24,1.6481915961821176,2030797545.6896195,239778341.86647385,1232136816.128521
2024-03-25,1.6818611486818882,2072621356.1866152,211825498.5108176,1232337971.425866
2024-03-26,1.7048100801882882,2096163244.7091932,277991795.538281,1229558218.2841637
2024-03-27,1.8875428230861275,2316695259.569459,462218445.8444587,1227360370.9724946
2024-03-28,2.090918349686312,2566547700.649801,1026464950.1779692,1227473899.702896
2024-03-29,2.023449756510733,2489364381.1304364,487986251.3647145,1230257570.3303516
2024-03-30,1.909310494579028,2351431099.597385,477287686.3710393,1231560349.2850635
2024-03-31,1.881978647043925,2312559002.598918,232827202.50705364,1228791307.6119738
2024-04-01,1.9144998437891068,2351239534.320778,272606401.6085821,1228122082.092883
2024-04-02,1.941135998579545,2516387528.943085,652835925.6813638,1296347876.081062
2024-04-03,1.734495782692862,2250778904.3761377,517739675.588129,1297656025.9384022
2024-04-04,1.672238227007739,2169033606.092396,329896607.4427915,1297084094.276214
2024-04-05,1.6827089375088369,2178119676.894453,234585123.1497349,1294412615.481229
2024-04-06,1.6129233966432004,2091578232.2283008,245883220.31093693,1296762286.7777054
2024-04-07,1.6260148160227106,2109704814.3033547,133900124.91702469,1297469613.139053
2024-04-08,1.63986315119251,2125161137.943744,171250397.94859144,1295938100.9313643
2024-04-09,1.711804984340476,2218776830.263465,212388954.1492583,1296162150.806165
2024-04-10,1.5778194781661925,2051277241.5726123,242159120.0227506,1300070933.308982
2024-04-11,1.5192119208962822,1969237190.655728,290529122.9880146,1296222839.9932158
