Date,OP_Price,AVPI,PR,LAR,Votable Supply,Circulating Supply,OP_Price_Scaled,AVPI_Scaled,PR_Scaled,LAR_Scaled
2023-12-04,1.719741023,0.9763780995573924,0.0908219341077703,0.0544451945599792,82765569.72,911294948.0,0.13559766115685334,1.0000000000000002,0.9118597251696534,0.057513212381264646
2023-12-05,1.79032647,0.4458397668879072,0.0905288157923596,0.184732857313688,82498452.48,911294948.0,0.15311878786782745,0.33682881631921113,0.9040623007465838,0.322434593735142
2023-12-06,1.800778154,0.4662663710982374,0.0910181197997818,0.1124627004313269,82944352.75,911294948.0,0.1557131651437419,0.36236200489124737,0.917078583991914,0.1754835364571457
2023-12-07,1.712826843,0.4683463644071787,0.0901216054804684,0.114736635371088,82127363.78,911294948.0,0.13388138352412138,0.3649619897364481,0.8932298434611452,0.18010725886199946
2023-12-08,2.17804963,0.38113902331651,0.090155752778298,0.2492917870620688,82158482.04,911294948.0,0.24936166658954628,0.25595309809660105,0.894138217179469,0.45370597036579013
2023-12-09,2.119848479,0.3531331744322757,0.0900385321130958,0.2109689299440937,82051659.44,911294948.0,0.23491464125023598,0.2209458784276815,0.8910199566352399,0.375781905795584
2023-12-10,2.033932266,0.3458448474757877,0.089982512489469,0.177387513106742,82000609.04,911294948.0,0.21358802339230776,0.2118354935277503,0.8895297434398386,0.30749888383985924
2023-12-11,2.169642979,0.3501392293148663,0.0897537063049755,0.1421882130775317,81792099.12,911294948.0,0.2472749191983179,0.21720345680585942,0.8834431264073301,0.23592612714642075
2023-12-12,2.288199608,0.318425865969671,0.089471475211119,0.2958726337022566,81534903.35,911294948.0,0.2767037293485881,0.17756185616541284,0.8759353198033559,0.5484214789237974
2023-12-13,2.338079738,0.3139209274369307,0.0896532825286769,0.1959834552237727,81700583.44,911294948.0,0.2890852628690864,0.1719306977076737,0.8807716904553651,0.3453110800915744
2023-12-14,2.236857993,0.3147554505497599,0.0896872042464126,0.1685826945619513,81731496.13,911294948.0,0.2639594175932053,0.17297384887407344,0.8816740633759186,0.28959554102016627
2023-12-15,2.258742575,0.320892051518317,0.0896604210078425,0.1334984203806383,81707088.7,911294948.0,0.2693917347426412,0.18064458004936437,0.8809615856235036,0.21825667298412094
2023-12-16,2.093693816,0.330506606937662,0.0895891114388137,0.1052521027502645,81642104.65,911294948.0,0.22842237997000603,0.19266274293295707,0.8790646349864732,0.16082181440549473
2023-12-17,2.180534896,0.3386069815154789,0.0895465122451222,0.10982987690556,81603284.22,911294948.0,0.24997857364825593,0.20278818470829288,0.877931427077483,0.17013006529521638
2023-12-18,2.084722368,0.3478683950777427,0.088948778557258,0.0967250250698332,81058572.53,911294948.0,0.2261954354103305,0.2143649214235079,0.8620307377953642,0.14348321802371744
2023-12-19,2.231617724,0.3515665857090903,0.0888379245793865,0.1303705679505339,80957551.86,911294948.0,0.26265864780210946,0.21898764763845954,0.8590818414998922,0.21189663114331542
2023-12-20,2.109474119,0.3616033332520587,0.0886860142343288,0.0820002965254424,80819116.73,911294948.0,0.2323394577835186,0.2315335492981653,0.8550407789923851,0.11354258248238461
2023-12-21,2.242226632,0.3701971713801172,0.0885857872439341,0.0878551493921116,80727780.38,911294948.0,0.26529205212599316,0.2422758189001926,0.8523745778658558,0.12544759080227297
2023-12-22,2.518230752,0.3724686789387337,0.0843307368033384,0.1301210570581707,76850174.41,911294948.0,0.3338033864704639,0.2451151959322119,0.7391833083936437,0.21138928632746246
2023-12-23,3.509716392,0.354016658150487,0.0839507726536853,0.2991403596201105,76503915.0,911294948.0,0.5799156697935591,0.22205023019095718,0.7290756433838856,0.555065933554012
2023-12-24,3.41863373,0.3432662729976884,0.0835860885514313,0.2550556204222774,76171580.22,911294948.0,0.557306606170645,0.20861228384892114,0.7193744525127657,0.46542590349995455
2023-12-25,3.588720766,0.3367966823290466,0.0835138912566428,0.2255035566086199,76105787.19,911294948.0,0.5995265911152756,0.20052531663570325,0.7174538869251985,0.40533599627541783
2023-12-26,3.382066719,0.3411331327936452,0.0834672354180547,0.114488937297842,76063269.96,911294948.0,0.548229731823266,0.20594586555836245,0.7162127656572359,0.17960360015528776
2023-12-27,3.480381226,0.3413367889256535,0.0825764488162179,0.1577507319644799,75251500.63,911294948.0,0.5726339257171427,0.20620043505845534,0.6925163917367825,0.267570289868641
2023-12-28,3.960804643,0.3313133366259014,0.0823522419439551,0.2805169516733982,75047182.04,911294948.0,0.691887396821125,0.1936711524093623,0.6865521238978642,0.5171978894546535
2023-12-29,3.594457545,0.3292113730009051,0.0822714735602813,0.191149379964503,74973578.22,911294948.0,0.6009506074818768,0.1910437047408238,0.6844035533911477,0.33548167745906865
2023-12-30,3.908365871,0.3276329311666883,0.0822207062976058,0.1874029138050313,74927314.27,911294948.0,0.6788707424280476,0.1890706576015119,0.6830530615485491,0.32786377282262563
2023-12-31,3.615758367,0.3321140547638533,0.0821964796736698,0.1032617124230615,74905236.67,911294948.0,0.6062380203576486,0.19467204746753533,0.6824085939078888,0.15677463953282242
2024-01-01,3.700179943,0.3359620030614811,0.0820582080852268,0.1093551208148106,74779230.47,911294948.0,0.6271936308000693,0.19948197027639306,0.6787303445319282,0.16916471649158285
2024-01-02,3.99380792,0.3387920640764518,0.0814718307645002,0.121711594068603,74244867.78,911294948.0,0.7000796605634567,0.2030195373052324,0.6631317531052496,0.1942898426460448
2024-01-03,3.71737979,0.3342074497266102,0.0809442054868058,0.1209290144024393,73764045.53,911294948.0,0.6314630760115783,0.1972887843362505,0.6490960616788759,0.19269857850178382
